site_id,latitude,longitude,C1_Major_Roads,C5_Competitor_EVCS,C6_POI_Schools,C6_POI_Shopping_Malls,C6_POI_Restaurants,C6_POI_Hospitals,C6_POI_Theatres,C6_POI_Bus_Stops,C6_POI_Petrol_Bunks
SITE_034,25.344380013188093,82.96080797979833,6.8243,1.0,2.7491,2.9279,1.0063,1.0,1.3238,1.0003,1.6367
SITE_035,25.34889269201705,82.96088076461177,7.6632,1.0,3.0274,3.1935,1.0013,1.0,1.1603,1.0,2.1429
SITE_036,25.35340536788546,82.96095356692982,8.2584,1.0,3.2054,3.3522,1.0002,1.0,1.0581,1.0,2.6716
SITE_037,25.281136169704872,82.96475418950313,7.8915,1.0,3.0554,3.7533,3.9116,1.0,5.2283,1.0023,4.0348
SITE_038,25.285648876524476,82.96482691297608,7.4316,1.0,3.0941,3.5615,3.9976,1.0,5.6443,1.0191,3.3676
SITE_039,25.290161580388286,82.96489965395816,7.0021,1.0,3.1946,3.4466,4.4896,1.0,4.829,1.1017,2.8052
SITE_040,25.294674281295904,82.96497241245221,6.9463,1.0,3.3628,3.4473,5.2568,1.0,3.3682,1.3466,2.3554
SITE_041,25.29918697924691,82.96504518846109,7.8308,1.0,3.564,3.5425,5.9666,1.0,2.1058,1.8298,2.0081
SITE_042,25.303699674240896,82.96511798198758,8.3899,1.0,3.7354,3.6626,6.1563,1.0,1.4138,2.7013,1.7356
SITE_043,25.308212366277452,82.96519079303455,7.9956,1.0,3.8082,3.7238,5.6559,1.0,1.1772,4.3367,1.5071
SITE_044,25.312725055356175,82.9652636216048,8.0529,1.0,3.7351,3.6694,4.7128,1.0,1.1617,6.3242,1.3148
